file_id,file_name,file_size,case_id,case_submitter_id,sample_type
645c1248-7bfc-4585-a216-03b41aba9a6c,019ac5f9-a20b-494b-ab72-ec7fe44c6ea5.rna_seq.augmented_star_gene_counts.tsv,4233008,52dd2b4f-5661-4d62-b880-d76c24cb2bc9,DLBCL10927,Tumor
57325e53-7e48-41d9-bf72-a6c78a093aa7,34d09dcd-83ee-453d-b526-e7b67f619d8c.rna_seq.augmented_star_gene_counts.tsv,4227994,5374c2c5-0dbc-4dec-952b-c27fbd1b90bb,DLBCL10853,Tumor
79c275eb-7f14-4336-857e-20dc2e9ca5a9,e433ff9a-a849-447d-a8d9-8f449b63a852.rna_seq.augmented_star_gene_counts.tsv,4238734,439a490a-41fa-45bd-a0e2-bb037a6c6976,DLBCL11671,Tumor
4aa19aae-db31-4868-b4d4-50d6d5265359,64952c36-6f56-4b7d-9992-d2584c79ebb7.rna_seq.augmented_star_gene_counts.tsv,4195303,43d88cd5-28fe-4b94-8239-b4521a41edd6,DLBCL10537,Tumor
4142244b-09f6-48d2-a00c-c91b83072577,a20bee42-fb38-458d-ba5a-5400ea9b62a2.rna_seq.augmented_star_gene_counts.tsv,4190852,746a4f14-293e-47a1-ba54-452c3de205d4,DLBCL11575,Tumor
84bb73fd-ff42-454b-b869-a78f53593925,3bca037d-1d59-47e8-a610-92e5e231d12a.rna_seq.augmented_star_gene_counts.tsv,4251190,74e9bdf4-8312-49a0-bbb0-d8d6a58e8dd4,DLBCL11520,Tumor
57212fbc-b9a6-44d6-aed5-cc52401240a9,0ff872a8-8079-4ed5-a339-4aff13808f0c.rna_seq.augmented_star_gene_counts.tsv,4199640,678acbbd-3f1b-4464-ba21-a59606cf19ae,DLBCL10501,Tumor
85f8c20e-46b8-4cc5-9ea6-5eac2b003c15,8b0e9cf3-b04e-44ed-bb59-24476055a298.rna_seq.augmented_star_gene_counts.tsv,4231056,687e6e3a-cb53-4507-a721-647b52052a63,DLBCL11526,Tumor
643ada4e-8d5b-4f5f-87eb-592bd4881d32,6f576ae4-6710-495d-bcb8-902a91bc0e4e.rna_seq.augmented_star_gene_counts.tsv,4250256,575a65e2-35e1-4f90-aa15-bd2f01b21cfd,DLBCL10474,Tumor
df05407d-48db-42b6-b671-a61aac77ffe9,55db847c-65c3-4f0b-80a2-ccdb99bf5b5c.rna_seq.augmented_star_gene_counts.tsv,4235284,7768f1fa-2c06-4ff5-ba0c-7fa1daad2cec,DLBCL10903,Tumor
2a30e749-5e16-4065-86b8-2b2d17e53d2b,84f01958-470a-4663-95f8-d485ee5ce582.rna_seq.augmented_star_gene_counts.tsv,4233741,6a9fd948-0acb-4835-9cbe-d7cd729ae3ce,DLBCL10893,Tumor
07d1c071-a8c7-4d75-a85e-8ea9750fff66,d8646e4b-ffee-4baa-b72d-ac48f5d08057.rna_seq.augmented_star_gene_counts.tsv,4254346,6b95eaad-0121-40fa-9640-0399b894bce1,DLBCL10859,Tumor
be188516-37a5-4263-b339-b56e83cf0bee,fd5217e1-0b03-47a1-96b9-f95bf79bcded.rna_seq.augmented_star_gene_counts.tsv,4225802,5857d22f-9ab6-4c0f-ba03-bec73c6e0cbe,DLBCL11193,Tumor
42ab0421-5c8b-4a65-a3e9-ab245d476b53,5fdae720-5c3a-46c0-9dda-87828ff2062a.rna_seq.augmented_star_gene_counts.tsv,4183468,78423c79-acd0-406b-a881-bd7e78532d27,DLBCL10547,Tumor
e191d3d3-57dd-4209-bf25-343aa8c35623,63faf4e7-7626-401c-b781-7687f96435aa.rna_seq.augmented_star_gene_counts.tsv,4234661,792b51cb-25c0-49e5-b5aa-5e341c6f476c,DLBCL11448,Tumor
fd0385d7-2c72-4c74-ad35-622feb3112da,9e263e0b-e602-47d9-9f2c-cc21f07d66fd.rna_seq.augmented_star_gene_counts.tsv,4230856,59a1825e-0ec8-4dc6-9dca-dfa38c96d387,DLBCL10989,Tumor
d5f83978-c3d2-425c-a514-21ca850f4511,57078368-b13b-4f0e-91ab-47af7740eddb.rna_seq.augmented_star_gene_counts.tsv,4231233,6da7f2d1-0c8d-4016-94e0-615698d39e49,DLBCL10936,Tumor
11e09ad0-240c-4bef-ac1e-3b19d3f73495,c437cbf4-c307-4fcb-b8b5-53689448e6f8.rna_seq.augmented_star_gene_counts.tsv,4205585,6de93517-de23-49d8-8d70-4a0cd773282e,DLBCL10523,Tumor
b4637da5-0846-479f-8bf8-aba78cb4ed60,d30658b9-f710-4768-b277-bcb90f3dcd45.rna_seq.augmented_star_gene_counts.tsv,4250663,7c92e8c9-eabd-413e-8d90-ff4d270f9ce7,DLBCL11457,Tumor
7e461664-fe1c-4e7e-bd1a-5612129ada2e,a96d38aa-b6ab-4d10-84f5-b7f181eacd54.rna_seq.augmented_star_gene_counts.tsv,4239072,5b2d8b76-9b1f-4c1b-ae43-3a5279e1a6e7,DLBCL11436,Tumor
cb199f06-fc9d-4a92-ae83-5e0b17f986a0,26b80a18-3e6a-43c0-93a8-11424fdcb4e3.rna_seq.augmented_star_gene_counts.tsv,4245711,7ef3a33f-b822-4212-b5e9-fdd0244fbb19,DLBCL10913,Tumor
fa7d7eb3-8aa8-4472-9e96-3c40f5cafdb0,f8ef2dca-02c4-4bf3-a6d9-59b67b3e5fa4.rna_seq.augmented_star_gene_counts.tsv,4227084,6f7a0ad9-34b5-438f-a42d-61a1ce2725cf,DLBCL11211,Tumor
2a531e0e-2082-4776-8399-d0115aa1c3f2,f75b6586-34af-4abc-906b-1fd0fcfdc775.rna_seq.augmented_star_gene_counts.tsv,4195420,8e0ccd20-0b23-4f52-8dd9-4c0c33127640,DLBCL10470,Tumor
6d5a8ad2-e018-4515-8896-970b25ca2312,dfac9c41-3f4c-48dc-b557-ea2f6a7004d8.rna_seq.augmented_star_gene_counts.tsv,4232094,81270042-a4f2-4287-9b47-07f29151f773,DLBCL10863,Tumor
67a557b5-3c2c-4294-aea1-a8700369124d,2e5a8f56-e1c5-4526-bae5-df17fb6f04a8.rna_seq.augmented_star_gene_counts.tsv,4251392,70635928-0034-46a9-8f4d-c4de104fd18e,DLBCL10894,Tumor
200f5fda-0232-440b-9565-526c1a43ea0b,70390c55-1f14-4a97-b4d6-8fbf4a6c3e61.rna_seq.augmented_star_gene_counts.tsv,4222826,8e851d21-08c4-4573-ad77-bf4fd51066c4,DLBCL11565,Tumor
a4b8e485-d826-4baa-bd4b-2f68b35db0d8,9ffceb8b-b5d6-4f80-ab3b-b5a67983dc7e.rna_seq.augmented_star_gene_counts.tsv,4227597,70698367-a664-42db-969c-b35280461290,DLBCL11430,Tumor
f9873c8a-5fd3-4fd1-b763-7acc7afe076d,876fd2a0-a693-48e4-b905-5ac18dafe06f.rna_seq.augmented_star_gene_counts.tsv,4243507,81967969-aa67-464d-aacb-362c65da5844,DLBCL11470,Tumor
68e65220-7312-4a63-9869-c587d6f7c418,9f3cf564-e943-4b1c-aa44-62bdf2fb8dc5.rna_seq.augmented_star_gene_counts.tsv,4236492,70c19d0b-ce97-4d31-b2c0-09877986f6dd,DLBCL10947,Tumor
db158f14-6ab7-4a07-8842-0b7409ba9e71,c1ae8205-fb69-4f95-9066-59a47f87cbbe.rna_seq.augmented_star_gene_counts.tsv,4233095,926d7316-349d-48d5-be1d-fd21d494ea07,DLBCL10450,Tumor
5287ca13-f294-41c9-90dc-22b6882f8d07,be6918e8-0337-47be-8166-2662f7278f95.rna_seq.augmented_star_gene_counts.tsv,4230181,938b1350-2661-48ed-b100-58f25b819d04,DLBCL11566,Tumor
